"LOCATION_NAME","LONGITUDE","LATITUDE"
"007-Kumburgaz Itfaiye","28.468128","41.039792"
"024-Beykoz Koru Sosyal Tesisleri","29.094437","41.131533"
"75. YIL YÜZME HAVUZU","28.9020583875276","41.095632480422"
"059-Zincirlikuyu Mezarliklar Daire Baskanligi","29.003291","41.04254"
"ÜSKÜDAR TÜRK-İSLAM SANATLARI MERKEZİ","29.01179","41.02375"
"038-Avcilar Parseller Otobus Dur","28.705535","40.995034"
"066-Deneyap Sariyer Kultur Merke","29.051827","41.124858"
"EYÜPSULTAN İSLAMBEY","28.92953","41.0502"
"025-Silivrikapi Buz Pisti","28.922089","41.003475"
"BAKIRKÖY","28.87746","40.97938"
"Avrasya Gosteri Merkezi-YK","28.943655","40.998944"
"030-Yildiz Korusu","29.015456","41.049054"
"ISMEK-Davutpasa","28.898298","41.019966"
"029-Umraniye Yaz Izci Kampi","29.11702","41.073507"
"BAĞCILAR YILDIZTEPE","28.85401","41.03136"
"017-Sariyer Istinye Caddesi","29.057043","41.115098"
"K.ÇEKMECE HALKALI TOPLU KONUTLAR","28.785411","41.054832"
"ISADEM-Sancaktepe","29.230252","41.005278"
"METRO-M1B Kirazli","28.842523","41.031947"
"059-Kartal Soganlik Mezarliklar","29.21064","40.918029"
"BEYLİKDÜZÜ BEYKENT","28.625272","41.004162"
"PDM-Beyoglu","89.49742","41.050079"
"SULTANGAZİ 50.YIL MAH.","28.874161","41.090875"
"007-Umraniye Itfaiye","29.127973","41.016167"
"031-Sarachane Anit Parki","28.954154","41.015449"
"032-Kagithane Park ve Bahceler","28.955561","41.065596"
"ŞİŞLİ DARULACEZE","28.94416","41.0147"
"003-Kadikoy Engelliler Merkezi","29.096674","40.974797"
"013-Musahipzade Celal Sahnesi","29.012987","41.019524"
"056-Emirgan Korusu Sari Kosk","29.053605","41.107864"
"ISADEM-Zeytinburnu","28.90418","40.992576"
"012-Taksim Sanat Galerisi","28.984351","41.036582"
"MALTEPE ZÜMRÜTEVLER","29.14133","40.93675"
"ÇEKMEKÖY ALEMDAĞ","29.23865","41.05297"
"AVCILAR FİRUZKÖY","28.710482","41.001998"
"Kağıthane Küçük Kemal Çocuk Tiyatrosu Sahnesi","28.9716926858537","41.0798004369654"
"032-Kumburgaz Park ve Bahceler","28.467882","41.039926"
